Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
(12 PACK) - Provamel - Almond Unsweetened Milk | 1000ml | 12 PACK BUNDLE,B00V6HTD0Y,Provamel By Alpro,32.54,0,0,0,0.00,,4.2,25,,,SuperfoodUK,Fresh & Chilled,,,,,25-03-2015
(12 PACK) - Rude Health - Organic Almond Drink | 1000ml | 12 PACK BUNDLE,B00V6HTB1K,Rude Health,29.40,80,"2,352.00","14,110",11.64,4,4.5,57,2,0,Quasaro,Fresh & Chilled,Large Oversize,MFN,8.9x12.6x8.5,29.01,25-03-2015
(12 PACK) - Rude Health - Organic Almond Drink | 1000ml | 12 PACK BUNDLE,B00V6HTB1K,Rude Health,29.40,80,"2,352.00","14,110",11.64,4,4.5,57,2,0,Quasaro,Fresh & Chilled,Large Oversize,MFN,8.9x12.6x8.5,29.01,25-03-2015
(12 PACK) - Rude Health - Organic Brown Rice Drink | 1000ml | 12 PACK BUNDLE,B00V6HSYKE,Rude Health,29.51,1,29.51,"34,294",,3,5.0,7,2,0,Quasaro,Fresh & Chilled,,MFN,,,25-03-2015
(12 PACK) - Rude Health - Organic Coconut Drink | 1000ml | 12 PACK BUNDLE,B016IW1UMK,Rude Health,34.11,3,102.33,"1,75,643",12.36,3,5.0,2,2,0,Best4Deals,Fresh & Chilled,Large Oversize,MFN,9.0x12.4x8.5,29.1,25-03-2015
(12 Pack) Alpro Soya Milk For Professionals - 1Ltr,B01DY4VE6W,Alpro,23.59,29,684.11,"54,908",10.75,3,4.7,14,1,0,Universal Product Solutions,Fresh & Chilled,Large Oversize,MFN,9.2x11.8x8.0,30.86,07-04-2016
(12 Pack) Perrier Water - 750ml,B01DY4WLD2,Perrier,23.70,45,"1,066.50","41,499",,4,4.1,7,1,0,Slamtech Online,Drinks,,MFN,,,02-08-2016
(2 Pack) - Aloe Pura - Aloe Vera Juice Cranberry | 1000ml | 2 PACK BUNDLE,B00URRGN4S,Aloe Pura,18.79,24,450.96,"31,995",7.01,4,4.7,59,1,0,SuperfoodUK,Drinks,Large Oversize,MFN,6.9x8.7x3.4,4.72,16-03-2015
(2 Pack) - Clipper - Organic Raspberry Leaf Tea | 20 Bag | 2 PACK BUNDLE,B00URRIJ9U,Clipper,5.69,514,"2,924.66","4,757",2.65,7,4.5,624,2,12,SuperfoodUK,Grocery,Small Oversize,FBA,6.5x9.5x2.0,0.31,12-04-2014
(2 Pack) - Clipper - Organic Raspberry Leaf Tea | 20 Bag | 2 PACK BUNDLE,B00URRIJ9U,Clipper,5.69,514,"2,924.66","4,757",2.65,7,4.5,624,2,12,SuperfoodUK,Grocery,Small Oversize,FBA,6.5x9.5x2.0,0.31,12-04-2014
